source_event_id,event_name,market_prob_away_raw,market_prob_draw_raw,market_prob_home_raw,away_odds_mean,draw_odds_mean,home_odds_mean,event_start_ts_utc,target,overround,market_prob_home,market_prob_draw,market_prob_away,market_prob_mean,market_prob_std,feature_stub,pred_prob_class_1,edge,signal,pnl_unit,cum_pnl_unit
2223:409:Oldham:Boreham Wood,Oldham vs Boreham Wood,0.4166666666666667,0.3125,0.3802281368821293,2.4,3.2,2.63,2023-03-04 00:00:00+00:00,0,1.109394803548796,0.34273473759371653,0.2816851124598358,0.37558014994644773,0.34273473759371653,0.04764828766811487,0.6868735083532219,0.26133979349554554,-0.081394944098171,0,-0.0,-2.0
2223:411:Solihull:Maidstone,Solihull vs Maidstone,0.21052631578947367,0.2631578947368421,0.625,4.75,3.8,1.6,2023-03-04 00:00:00+00:00,1,1.0986842105263157,0.5688622754491018,0.23952095808383234,0.19161676646706588,0.5688622754491018,0.2053755458282308,0.6875894988066826,0.7070318358625264,0.13816956041342454,1,0.7578947368421052,-1.2421052631578948
2223:407:Dorking:Halifax,Dorking vs Halifax,0.4347826086956522,0.3125,0.36363636363636365,2.3,3.2,2.75,2023-03-04 00:00:00+00:00,0,1.1109189723320159,0.3273293306648877,0.28129864354013784,0.39137202579497443,0.3273293306648877,0.05528176377691717,0.6863961813842482,0.2786576248029783,-0.04867170586190939,0,-0.0,-1.2421052631578948
2223:406:Dag and Red:York,Dag and Red vs York,0.30303030303030304,0.3076923076923077,0.5,3.3,3.25,2.0,2023-03-04 00:00:00+00:00,1,1.1107226107226107,0.45015739769150054,0.2770199370409234,0.2728226652675761,0.45015739769150054,0.10119437129828776,0.6861575178997613,0.39218906763533895,-0.05796833005616159,0,0.0,-1.2421052631578948
2223:405:Bromley:Notts County,Bromley vs Notts County,0.6535947712418301,0.2631578947368421,0.2,1.53,3.8,5.0,2023-03-04 00:00:00+00:00,0,1.1167526659786722,0.17909068506653525,0.2356456382454411,0.5852636766880237,0.17909068506653525,0.22000292977452865,0.6859188544152744,0.09460838697469169,-0.08448229809184356,0,-0.0,-1.2421052631578948
2223:404:Aldershot:Torquay,Aldershot vs Torquay,0.3333333333333333,0.29411764705882354,0.5,3.0,3.4,2.0,2023-03-04 00:00:00+00:00,0,1.1274509803921569,0.4434782608695652,0.2608695652173913,0.29565217391304344,0.4434782608695652,0.09696074599233467,0.6856801909307876,0.3266419801826321,-0.11683628068693314,0,-0.0,-1.2421052631578948
2223:408:Gateshead:Chesterfield,Gateshead vs Chesterfield,0.48780487804878053,0.3125,0.3125,2.05,3.2,3.2,2023-03-04 00:00:00+00:00,0,1.1128048780487805,0.2808219178082192,0.2808219178082192,0.4383561643835617,0.2808219178082192,0.09095243966685887,0.686634844868735,0.5125112632117397,0.23168934540352049,1,-1.0,-2.242105263157895
2223:422:Solihull:Torquay,Solihull vs Torquay,0.25,0.2857142857142857,0.5555555555555556,4.0,3.5,1.8,2023-03-07 00:00:00+00:00,1,1.0912698412698414,0.509090909090909,0.2618181818181818,0.22909090909090907,0.509090909090909,0.15308759803516514,0.690453460620525,0.6068761950083764,0.09778528591746738,1,0.9642857142857144,-1.2778195488721806
2223:415:Bromley:York,Bromley vs York,0.29411764705882354,0.3225806451612903,0.48780487804878053,3.4,3.1,2.05,2023-03-07 00:00:00+00:00,0,1.1045031702688943,0.4416509532788603,0.29205950136182696,0.2662895453593128,0.4416509532788603,0.09468660280678881,0.6885441527446301,0.43173892104607875,-0.009912032232781531,0,-0.0,-1.2778195488721806
2223:416:Dag and Red:Wrexham,Dag and Red vs Wrexham,0.6896551724137931,0.25,0.16666666666666666,1.45,4.0,6.0,2023-03-07 00:00:00+00:00,0,1.1063218390804597,0.15064935064935064,0.225974025974026,0.6233766233766235,0.15064935064935064,0.25399268543118325,0.688782816229117,0.06507136825957266,-0.08557798238977798,0,-0.0,-1.2778195488721806
